Mike Derrick,250,DEM
Mike Derrick,20,WOR
Elise M. Stefanik,251,REP
Elise M. Stefanik,31,CON
Elise M. Stefanik,13,IND
Elise M. Stefanik,0,REF
Matthew J. Funiciello,30,GRE
Hillary Clinton and Tim Kaine,281,DEM
Hillary Clinton and Tim Kaine,10,WOR
Hillary Clinton and Tim Kaine,3,WOM
Donald J. Trump and Michael R. Pence,251,REP
Donald J. Trump and Michael R. Pence,26,CON
Jill Stein and Ajamu Baraka,17,GRE
Gary Johnson and Bill Weld,20,IND
Gary Johnson and Bill Weld,4,LIB
Elizabeth O'C Little,354,REP
Elizabeth O'C Little,30,CON
Elizabeth O'C Little,54,IND
Stephen Matthew Ruzbacki,72,GRE
Charles E. Schumer,302,DEM
Charles E. Schumer,15,WOR
Charles E. Schumer,13,IND
Charles E. Schumer,4,WOM
Wendy Long,198,REP
Wendy Long,20,CON
Wendy Long,2,REF
Robin Laverne Wilson,14,GRE
Alex Merced,10,LIB
Daniel G Stec,320,REP
Daniel G Stec,25,CON
Daniel G Stec,42,IND
Daniel G Stec,1,REF
Robin M. Barkenhagen,86,GRE
