"",Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
"",,Godlewski,,,,Godlewski,,,,
W:000 D:001,547,217,216,24,11,9,4,,,66
W:000 D:002,621,182,319,27,27,7,1,,,58
W:000 D:003,332,85,174,10,13,6,1,2,,41
W:000 D:004,849,258,394,62,23,9,3,1,,99
W:000 D:005,697,191,348,42,23,12,2,,,79
W:000 D:006,555,117,309,45,19,12,0,,,53
W:000 D:007,701,184,369,43,17,4,1,,,83
W:000 D:008,347,103,193,12,9,1,1,,,28
W:000 D:009,710,257,324,34,11,9,3,,,72
W:000 D:010,847,267,393,56,20,10,5,,,96
W:000 D:011,607,181,294,41,14,7,5,,,65
W:000 D:012,501,109,248,38,21,13,6,1,,65
W:000 D:013,756,220,371,45,20,7,2,,2,89
W:000 D:014,643,236,285,26,21,9,2,,,64
