"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Matthew J.,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Write-in,Scatter,
"",,,,,Funiciello,,,,,,
W:000 D:001,515,155,271,25,16,11,14,0,,,23
W:000 D:002,430,111,223,20,19,14,13,2,,,28
W:000 D:003,495,119,234,40,31,17,17,1,,,36
W:000 D:004,540,227,217,29,15,7,11,3,,,31
W:000 D:005,626,156,347,37,30,16,15,2,,,23
W:000 D:006,482,142,236,33,17,15,17,2,,,20
W:000 D:007,432,87,250,33,10,10,13,1,,,28
W:000 D:008,448,130,210,23,31,13,20,3,,,18
