"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,507,273,137,21,8,21,11,5,1,10,,,20
W:000 D:002,649,307,219,37,9,19,13,9,3,8,,,25
W:000 D:003,873,414,315,48,7,27,21,6,6,7,,,22
W:000 D:004,806,397,260,47,10,22,22,9,4,8,,1,26
W:000 D:005,480,224,169,33,4,12,13,2,4,2,,,17
W:000 D:006,1033,481,368,61,6,20,32,10,7,12,,,36
W:000 D:007,447,208,140,35,9,10,14,3,4,1,,,23
W:000 D:008,591,240,230,43,9,18,21,2,3,4,,,21
W:000 D:009,442,179,169,45,3,9,15,6,1,5,,,10
